"id","journal_date","description","user_id","financial_year","type","createdAt","updatedAt"
62,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
63,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
64,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
65,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
66,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
67,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
68,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
69,"2024-05-03T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
70,"2024-05-04T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
71,"2024-05-04T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
72,"2024-05-04T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
73,"2024-05-04T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
74,"2024-05-04T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
75,"2024-05-04T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
76,"2024-05-04T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
77,"2024-05-06T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
78,"2024-05-06T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
79,"2024-05-06T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
80,"2024-05-06T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
324,"2024-05-27T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
82,"2024-05-06T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
81,"2024-05-06T00:00:00.000Z","Sale Update",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
83,"2024-05-06T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
84,"2024-05-06T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
85,"2024-05-06T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
86,"2024-05-06T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
87,"2024-05-06T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
88,"2024-05-07T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
89,"2024-05-07T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
90,"2024-05-07T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
91,"2024-05-07T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
92,"2024-05-07T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
93,"2024-05-07T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
94,"2024-05-07T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
95,"2024-05-07T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
96,"2024-05-08T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
97,"2024-05-08T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
98,"2024-05-08T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
99,"2024-05-08T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
100,"2024-05-08T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
101,"2024-05-08T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
102,"2024-05-08T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
103,"2024-05-08T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
104,"2024-05-08T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
105,"2024-05-08T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
106,"2024-05-08T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
107,"2024-05-08T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
108,"2024-05-08T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
109,"2024-05-08T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
110,"2024-05-09T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
111,"2024-05-09T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
112,"2024-05-09T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
113,"2024-05-09T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
114,"2024-05-09T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
115,"2024-05-09T00:00:00.000Z","Sale Entry",9,"2024-2025",2,"2025-03-01T08:50:38.804Z","2025-03-01T08:50:38.804Z"
