"id","name","user_id","financial_year","createdAt","updatedAt"
8,"FANCY ITEMS 5%",9,"2024-2025",,
9,"FANCY ITEMS 12%",9,"2024-2025",,
10,"FANCY ITEMS 18%",9,"2024-2025",,
11,"FANCY ITEMS 0%",9,"2024-2025",,
