"id","name","gst_no","user_id","credit_balance","debit_balance","financial_year","isDealer","type","createdAt","updatedAt"
223,Itha ramesh,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
224,Raja general stores,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
225,Sri uma maheswara general stores,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
226,Vsk medicals,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
228,Sri hemanth medicals,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
229,Poojita corporation,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
230,Lakshmi general stores,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
231,Gayathri kirana general stores,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
232,Sri lakshmi srinivasa general stores,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
233,Harish fancy mart,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
234,Chandra stores,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
235,Ravi teja general stores,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
236,Krishna fancies,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
186,SGSTS,"",9,0.00,0.00,"2024-2025",false,,2025-03-01 13:43:51.480 +0530,2025-03-02 19:33:21.738 +0530
187,CGSTS,"",9,0.00,0.00,"2024-2025",false,,2025-03-01 13:43:51.480 +0530,2025-03-02 19:33:28.765 +0530
188,IGSTS,"",9,0.00,0.00,"2024-2025",false,,2025-03-01 13:43:51.480 +0530,2025-03-02 19:33:35.421 +0530
182,RCM SGSTS,"",9,0.00,0.00,"2024-2025",false,,2025-03-01 13:43:51.480 +0530,2025-03-02 19:34:04.435 +0530
183,RCM CGSTS,"",9,0.00,0.00,"2024-2025",false,,2025-03-01 13:43:51.480 +0530,2025-03-02 19:34:09.203 +0530
189,RCM IGSTS,"",9,0.00,0.00,"2024-2025",false,,2025-03-01 13:43:51.480 +0530,2025-03-02 19:34:15.727 +0530
237,Tava poornachandra rao,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
238,Bhaskar general stores,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
239,RS market,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
240,Sri radha krishna fancy & general stores,"",9,0.00,0.00,"2024-2025",true,,2025-03-01 13:43:51.480 +0530,2025-03-01 13:43:51.480 +0530
