"id","category_id","entry_date","account_id","item_id","quantity","unit_price","total_amount","value","user_id","financial_year","unit_id","journal_id","type","createdAt","updatedAt"
40,18,"2024-05-03T00:00:00.000Z",221,10,"1","813.97","960.4846","813.97",9,"2024-2025",12,40,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
42,17,"2024-05-03T00:00:00.000Z",217,9,"1","2870.29","3214.7248","2870.29",9,"2024-2025",12,42,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
43,17,"2024-05-03T00:00:00.000Z",218,9,"1","185.89","208.1968","185.89",9,"2024-2025",12,43,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
44,18,"2024-05-03T00:00:00.000Z",218,10,"1","504.92","595.8056","504.92",9,"2024-2025",12,44,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
45,18,"2024-05-03T00:00:00.000Z",216,10,"1","2553.56","3013.2008","2553.56",9,"2024-2025",12,45,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
46,18,"2024-05-03T00:00:00.000Z",211,10,"1","694.07","819.0026","694.07",9,"2024-2025",12,46,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
47,17,"2024-05-03T00:00:00.000Z",220,9,"1","1084.35","1214.472","1084.35",9,"2024-2025",12,47,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
48,18,"2024-05-03T00:00:00.000Z",220,10,"1","716.1","844.998","716.10",9,"2024-2025",12,48,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
49,18,"2024-05-03T00:00:00.000Z",221,10,"1","1060.09","1250.9062","1060.09",9,"2024-2025",12,49,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
50,16,"2024-05-03T00:00:00.000Z",222,8,"1","177.14","185.99699999999999","177.14",9,"2024-2025",12,50,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
51,17,"2024-05-03T00:00:00.000Z",222,9,"1","659.95","739.144","659.95",9,"2024-2025",12,51,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
52,18,"2024-05-03T00:00:00.000Z",222,10,"1","813.97","960.4846","813.97",9,"2024-2025",12,52,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
53,18,"2024-05-03T00:00:00.000Z",223,10,"1","783.37","924.3766","783.37",9,"2024-2025",12,53,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
55,17,"2024-05-03T00:00:00.000Z",224,9,"1","1450.63","1624.7056000000002","1450.63",9,"2024-2025",12,55,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
56,18,"2024-05-03T00:00:00.000Z",224,10,"1","7015.22","8277.9596","7015.22",9,"2024-2025",12,56,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
57,18,"2024-05-03T00:00:00.000Z",225,10,"1","2538.31","2995.2057999999997","2538.31",9,"2024-2025",12,57,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
58,18,"2024-05-03T00:00:00.000Z",208,10,"1","1932.2","2279.996","1932.20",9,"2024-2025",12,58,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
59,18,"2024-05-03T00:00:00.000Z",202,10,"1","479.97","566.3646","479.97",9,"2024-2025",12,59,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
60,17,"2024-05-03T00:00:00.000Z",226,9,"1","1162.5","1302","1162.50",9,"2024-2025",12,60,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
61,17,"2024-05-03T00:00:00.000Z",227,9,"1","523.93","586.8016","523.93",9,"2024-2025",12,61,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
62,18,"2024-05-03T00:00:00.000Z",227,10,"1","645.95","762.221","645.95",9,"2024-2025",12,62,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
63,17,"2024-05-03T00:00:00.000Z",208,9,"1","1311.58","1468.9696","1311.58",9,"2024-2025",12,63,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
64,18,"2024-05-03T00:00:00.000Z",208,10,"1","721.01","850.7918","721.01",9,"2024-2025",12,64,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
65,17,"2024-05-03T00:00:00.000Z",228,9,"1","1341.47","1502.4464","1341.47",9,"2024-2025",12,65,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
66,16,"2024-05-03T00:00:00.000Z",202,8,"1","747.62","785.001","747.62",9,"2024-2025",12,66,2,"2025-03-01T08:22:14.180Z","2025-03-01T08:22:14.180Z"
